Year,Game Number,Home Team,Away Team,L_2 Cluster,H_1 Cluster
1999,9,CIN,SEA,9,8
1999,9,DAL,MIN,2,5
1999,9,DEN,SD,5,8
1999,9,JAX,ATL,9,8
1999,9,KC,IND,7,3
1999,9,PHI,CAR,9,8
1999,9,PIT,SF,9,8
1999,9,STL,DET,6,4
1999,9,TB,NO,9,8
1999,9,TEN,MIA,9,8
1999,10,BAL,JAX,7,3
1999,10,CAR,STL,9,8
1999,10,CLE,PIT,8,2
1999,10,DEN,SEA,6,6
1999,10,DET,ARI,6,4
1999,10,GB,DAL,9,8
1999,10,IND,NYG,6,4
1999,10,KC,TB,6,4
1999,10,MIA,BUF,9,8
1999,10,MIN,CHI,2,5
1999,10,NYJ,NE,5,4
1999,10,SD,OAK,9,8
1999,10,SF,NO,9,8
1999,10,TEN,CIN,9,8
1999,10,WAS,PHI,4,5
1999,11,ATL,TB,4,2
1999,11,BAL,CIN,4,2
1999,11,BUF,NYJ,9,8
1999,11,CAR,CLE,9,8
1999,11,CHI,SD,2,6
1999,11,DAL,ARI,7,3
1999,11,DET,GB,7,3
1999,11,IND,PHI,9,7
1999,11,NE,MIA,6,4
1999,11,NO,JAX,5,8
1999,11,NYG,WAS,5,8
1999,11,OAK,DEN,1,6
1999,11,PIT,TEN,5,8
1999,11,SEA,KC,7,3
1999,11,STL,SF,5,4
1999,12,ARI,NYG,6,4
1999,12,ATL,CAR,5,8
1999,12,CHI,DET,5,8
1999,12,CIN,PIT,5,8
1999,12,GB,SF,5,8
1999,12,JAX,BAL,8,10
1999,12,KC,OAK,4,2
1999,12,MIA,DAL,6,4
1999,12,NE,BUF,5,8
1999,12,NO,STL,5,8
1999,12,NYJ,IND,6,4
1999,12,PHI,WAS,9,8
1999,12,SD,MIN,5,4
1999,12,TB,SEA,6,3
1999,12,TEN,CLE,7,4
1999,13,CLE,SD,6,8
1999,13,DAL,NE,6,4
1999,13,GB,CHI,7,6
1999,13,IND,MIA,6,4
1999,13,KC,DEN,2,5
1999,13,MIN,TB,6,4
1999,13,NO,ATL,9,8
1999,13,NYJ,NYG,9,7
1999,13,PHI,ARI,8,10
1999,13,PIT,JAX,7,4
1999,13,SEA,OAK,5,8
1999,13,SF,CIN,9,8
1999,13,STL,CAR,9,8
1999,13,TEN,BAL,5,8
1999,13,WAS,DET,6,4
1999,14,ARI,WAS,9,8
1999,14,ATL,SF,9,8
1999,14,BAL,PIT,5,4
1999,14,CAR,GB,2,5
1999,14,CLE,CIN,9,8
1999,14,DEN,JAX,2,5
1999,14,DET,TB,4,2
1999,14,MIA,NYJ,2,5
1999,14,MIN,KC,6,4
1999,14,NE,IND,5,8
1999,14,NYG,BUF,2,5
1999,14,OAK,TEN,6,4
1999,14,PHI,DAL,9,8
1999,14,SD,SEA,2,5
1999,14,STL,NO,5,4
1999,15,ATL,TEN,5,8
1999,15,BUF,ARI,6,3
1999,15,DET,CHI,5,8
1999,15,GB,MIN,7,3
1999,15,JAX,CLE,5,8
1999,15,NE,PHI,9,8
1999,15,NO,BAL,9,8
1999,15,NYG,STL,9,8
1999,15,NYJ,DAL,4,2
1999,15,PIT,KC,5,8
1999,15,SD,MIA,7,3
1999,15,SEA,DEN,5,4
1999,15,SF,CAR,9,8
1999,15,TB,OAK,9,8
1999,15,WAS,IND,7,3
1999,16,ARI,ATL,5,8
1999,16,BUF,NE,2,5
1999,16,CAR,PIT,6,4
1999,16,CHI,STL,9,8
1999,16,CIN,BAL,9,8
1999,16,DAL,NO,1,6
1999,16,DEN,DET,6,4
1999,16,GB,TB,5,8
1999,16,IND,CLE,8,10
1999,16,JAX,TEN,9,8
1999,16,KC,SEA,9,8
1999,16,MIN,NYG,5,4
1999,16,NYJ,MIA,1,5
1999,16,OAK,SD,4,5
1999,16,WAS,SF,8,2
1999,17,ARI,GB,9,8
1999,17,BAL,NE,5,4
1999,17,CIN,JAX,9,8
1999,17,DET,MIN,5,8
1999,17,IND,BUF,9,8
1999,17,MIA,WAS,5,8
1999,17,NO,CAR,9,7
1999,17,NYG,DAL,9,8
1999,17,OAK,KC,2,5
1999,17,SD,DEN,5,8
1999,17,SEA,NYJ,5,8
1999,17,SF,ATL,9,8
1999,17,STL,PHI,2,3
1999,17,TB,CHI,6,4
1999,17,TEN,PIT,9,8
1999,18,BUF,TEN,6,4
1999,18,DAL,MIN,6,4
1999,18,DET,WAS,9,7
1999,18,MIA,SEA,4,2
1999,19,MIA,JAX,9,7
1999,19,MIN,STL,9,8
1999,19,TEN,IND,7,3
1999,19,WAS,TB,8,2
1999,20,TB,STL,7,5
1999,20,TEN,JAX,7,6
1999,21,STL,TEN,6,4
2000,1,ARI,NYG,9,8
2000,1,BAL,PIT,9,8
2000,1,CAR,WAS,7,3
2000,1,CHI,MIN,2,5
2000,1,DEN,STL,6,4
2000,1,DET,NO,2,5
2000,1,IND,KC,6,4
2000,1,JAX,CLE,6,4
2000,1,NYJ,GB,2,5
2000,1,PHI,DAL,9,7
2000,1,SD,OAK,7,5
2000,1,SEA,MIA,9,8
2000,1,SF,ATL,5,8
2000,1,TB,NE,7,3
2000,1,TEN,BUF,6,3
2000,2,ATL,DEN,9,7
2000,2,CAR,SF,9,8
2000,2,CHI,TB,9,8
2000,2,CLE,CIN,5,8
2000,2,DAL,ARI,8,10
2000,2,GB,BUF,9,8
2000,2,JAX,BAL,8,2
2000,2,KC,TEN,2,5
2000,2,MIA,MIN,6,4
2000,2,NE,NYJ,8,10
2000,2,NO,SD,8,10
2000,2,NYG,PHI,5,8
2000,2,OAK,IND,4,2
2000,2,STL,SEA,2,5
2000,2,WAS,DET,7,3
2000,3,ATL,CAR,7,6
2000,3,BAL,MIA,9,8
2000,3,BUF,NYJ,5,8
2000,3,CIN,JAX,9,8
2000,3,DAL,WAS,6,4
2000,3,DEN,OAK,7,3
2000,3,MIN,NE,9,8
2000,3,NO,SEA,7,3
2000,3,NYG,CHI,6,4
2000,3,PHI,GB,7,5
2000,3,PIT,CLE,6,6
2000,3,SF,STL,7,3
2000,3,TB,DET,9,8
2000,4,CIN,BAL,9,7
2000,4,CLE,OAK,9,8
2000,4,DET,CHI,6,4
2000,4,GB,ARI,9,8
2000,4,JAX,IND,9,8
2000,4,KC,DEN,8,10
2000,4,NE,MIA,6,4
2000,4,NYJ,TB,8,10
2000,4,PHI,NO,6,4
2000,4,SEA,SD,6,4
2000,4,SF,DAL,5,8
2000,4,STL,ATL,5,4
2000,4,TEN,PIT,1,6
2000,4,WAS,NYG,5,8
2000,5,ARI,SF,9,8
2000,5,ATL,PHI,5,8
2000,5,BAL,CLE,9,8
2000,5,CHI,GB,9,8
2000,5,DAL,CAR,2,5
2000,5,IND,BUF,4,5
2000,5,MIA,CIN,2,6
2000,5,MIN,DET,2,5
2000,5,NE,DEN,9,8
2000,5,NYG,TEN,9,8
2000,5,PIT,JAX,5,8
2000,5,SD,STL,9,7
2000,5,SEA,KC,4,5
2000,5,TB,WAS,7,4
2000,6,BAL,JAX,7,3
2000,6,CLE,ARI,7,4
2000,6,DEN,SD,6,4
2000,6,GB,DET,9,8
2000,6,IND,NE,7,3
2000,6,NO,CHI,5,4
2000,6,NYG,ATL,5,8
2000,6,OAK,SF,1,5
2000,6,PIT,NYJ,6,4
2000,6,SEA,CAR,9,8
2000,6,TB,MIN,6,4
2000,6,TEN,CIN,7,3
2000,6,WAS,PHI,1,1
2000,7,ATL,STL,5,8
2000,7,BAL,WAS,6,4
2000,7,CAR,NO,5,4
2000,7,CIN,PIT,9,8
2000,7,CLE,DEN,9,8
2000,7,DAL,NYG,6,4
2000,7,IND,SEA,5,8
2000,7,JAX,TEN,9,8
2000,7,MIN,CHI,7,4
2000,7,NYJ,NE,9,8
2000,7,OAK,KC,4,2
2000,7,PHI,ARI,9,8
2000,7,SD,BUF,2,1
2000,7,SF,GB,5,8
2000,8,ARI,DAL,9,8
2000,8,BUF,MIN,4,2
2000,8,CHI,PHI,9,8
2000,8,CLE,PIT,9,8
2000,8,DEN,CIN,7,5
2000,8,DET,TB,2,5
2000,8,MIA,NYJ,8,10
2000,8,NE,IND,8,10
2000,8,NO,ATL,2,5
2000,8,SEA,OAK,9,8
2000,8,SF,CAR,9,8
2000,8,STL,KC,9,7
2000,8,TEN,BAL,7,3
2000,8,WAS,JAX,5,8
2000,9,CAR,ATL,4,2
2000,9,CIN,CLE,5,8
2000,9,DET,IND,9,8
2000,9,GB,MIA,2,6
2000,9,JAX,DAL,7,4
2000,9,KC,SEA,6,4
2000,9,MIN,TB,9,8
2000,9,NO,ARI,2,5
2000,9,NYJ,BUF,6,4
2000,9,OAK,SD,6,4
2000,9,PHI,NYG,9,8
2000,9,PIT,BAL,2,5
2000,9,STL,SF,2,5
2000,9,TEN,WAS,5,4
2000,10,BAL,CIN,9,8
2000,10,BUF,NE,6,4
2000,10,CAR,STL,4,5
2000,10,DAL,PHI,2,5
2000,10,DEN,NYJ,6,4
2000,10,IND,CHI,9,8
2000,10,KC,OAK,9,8
2000,10,MIA,DET,9,8
2000,10,MIN,GB,7,5
2000,10,NYG,CLE,6,4
2000,10,PIT,TEN,7,3
2000,10,SD,SEA,6,4
2000,10,SF,NO,9,7
2000,10,TB,ATL,9,8
2000,10,WAS,ARI,6,6
2000,11,ARI,MIN,5,8
2000,11,ATL,DET,2,5
2000,11,BAL,TEN,1,6
2000,11,CHI,BUF,5,8
2000,11,CIN,DAL,5,8
2000,11,GB,TB,5,4
2000,11,KC,SF,9,8
2000,11,MIA,SD,9,8
2000,11,NE,CLE,9,8
2000,11,NO,CAR,6,4
2000,11,NYJ,IND,9,8
2000,11,OAK,DEN,8,10
2000,11,PHI,PIT,1,6
2000,11,SEA,JAX,4,2
2000,11,STL,NYG,9,8
2000,12,ARI,PHI,5,8
2000,12,ATL,SF,5,8
2000,12,BUF,KC,2,5
2000,12,CAR,MIN,9,8
2000,12,CIN,NE,7,3
2000,12,CLE,TEN,6,4
2000,12,DAL,BAL,9,8
2000,12,DET,NYG,9,8
2000,12,IND,GB,9,8
2000,12,JAX,PIT,7,4
2000,12,NYJ,MIA,6,4
2000,12,OAK,NO,6,4
2000,12,SD,DEN,8,10
2000,12,TB,CHI,6,4
2000,12,WAS,STL,2,6
2000,13,ATL,OAK,9,8
2000,13,BUF,TB,6,4
2000,13,CHI,NYJ,9,8
2000,13,CLE,BAL,9,8
2000,13,DEN,SEA,4,5
2000,13,GB,CAR,9,8
2000,13,KC,SD,1,6
2000,13,MIA,IND,4,2
2000,13,MIN,DAL,5,4
2000,13,NE,DET,6,4
2000,13,NO,STL,6,4
2000,13,NYG,ARI,9,8
2000,13,PHI,WAS,2,5
2000,13,PIT,CIN,5,8
2000,13,TEN,JAX,7,6
2000,14,ARI,CIN,9,8
2000,14,CLE,JAX,9,8
2000,14,DAL,TB,9,7
2000,14,DEN,NO,9,8
2000,14,DET,MIN,9,8
2000,14,GB,CHI,5,8
2000,14,IND,NYJ,9,8
2000,14,KC,NE,5,8
2000,14,MIA,BUF,9,8
2000,14,NYG,WAS,6,4
2000,14,OAK,PIT,2,5
2000,14,SEA,ATL,9,8
2000,14,SF,SD,6,4
2000,14,STL,CAR,6,3
2000,14,TEN,PHI,7,3
2000,15,ARI,JAX,9,7
2000,15,BUF,IND,5,8
2000,15,CAR,KC,4,2
2000,15,CIN,TEN,9,8
2000,15,DET,GB,5,8
2000,15,MIN,STL,9,8
2000,15,NE,CHI,5,4
2000,15,NO,SF,8,10
2000,15,NYJ,OAK,9,8
2000,15,PHI,CLE,5,4
2000,15,PIT,NYG,9,8
2000,15,SD,BAL,9,8
2000,15,SEA,DEN,9,8
2000,15,TB,MIA,7,6
2000,15,WAS,DAL,9,8
2000,16,ATL,NO,9,8
2000,16,BAL,ARI,7,4
2000,16,CHI,SF,9,8
2000,16,DEN,KC,7,3
2000,16,DET,NYJ,8,2
2000,16,GB,MIN,5,8
2000,16,IND,MIA,9,8
2000,16,JAX,CIN,8,10
2000,16,NE,BUF,4,2
2000,16,NYG,DAL,8,10
2000,16,OAK,SEA,3,1
2000,16,SD,CAR,2,5
2000,16,STL,TB,6,4
2000,16,TEN,CLE,9,8
2000,16,WAS,PIT,5,8
2000,17,ARI,WAS,9,7
2000,17,BUF,SEA,9,8
2000,17,CAR,OAK,9,8
2000,17,CHI,DET,8,2
2000,17,CIN,PHI,9,8
2000,17,DAL,TEN,9,8
2000,17,JAX,NYG,7,3
2000,17,KC,ATL,5,8
2000,17,MIA,NE,8,10
2000,17,MIN,IND,9,8
2000,17,NYJ,BAL,7,4
2000,17,PIT,SD,7,4
2000,17,SF,DEN,9,8
2000,17,STL,NO,5,8
2000,17,TB,GB,5,4
2000,18,DEN,BAL,9,8
2000,18,IND,MIA,8,2
2000,18,STL,NO,6,4
2000,18,TB,PHI,5,8
2000,19,BAL,TEN,2,5
2000,19,MIA,OAK,9,8
2000,19,NO,MIN,9,8
2000,19,PHI,NYG,9,8
2000,20,BAL,OAK,5,8
2000,20,MIN,NYG,9,7
2000,21,BAL,NYG,9,8
2001,1,ATL,SF,8,10
2001,1,CAR,MIN,5,4
2001,1,CHI,BAL,7,3
2001,1,DET,GB,9,7
2001,1,IND,NYJ,5,8
2001,1,MIA,TEN,5,8
2001,1,NE,CIN,7,4
2001,1,NO,BUF,7,6
2001,1,NYG,DEN,5,8
2001,1,OAK,KC,8,10
2001,1,PIT,JAX,10,9
2001,1,SEA,CLE,7,3
2001,1,STL,PHI,6,4
2001,1,TB,DAL,2,5
2001,1,WAS,SD,9,8
2001,2,BAL,CIN,7,3
2001,2,BUF,IND,9,8
2001,2,CAR,ATL,6,4
2001,2,DEN,ARI,7,4
2001,2,DET,CLE,9,8
2001,2,MIN,CHI,4,2
2001,2,NYG,KC,9,8
2001,2,NYJ,NE,2,5
2001,2,OAK,MIA,4,2
2001,2,PHI,SEA,9,8
2001,2,SD,DAL,9,8
2001,2,STL,SF,6,4
2001,2,TEN,JAX,8,10
2001,2,WAS,GB,9,8
2001,3,ATL,ARI,9,8
2001,3,BAL,DEN,4,2
2001,3,CIN,SD,5,8
2001,3,CLE,JAX,5,8
2001,3,DAL,PHI,9,8
2001,3,GB,CAR,7,4
2001,3,IND,NE,9,8
2001,3,KC,WAS,5,4
2001,3,MIA,STL,5,8
2001,3,NO,NYG,9,8
2001,3,PIT,BUF,5,8
2001,3,SEA,OAK,9,8
2001,3,SF,NYJ,6,4
2001,3,TB,MIN,1,6
2001,4,ARI,PHI,3,1
2001,4,CAR,SF,5,4
2001,4,CHI,ATL,6,4
2001,4,CIN,PIT,9,8
2001,4,DAL,OAK,9,8
2001,4,GB,TB,7,6
2001,4,JAX,SEA,5,8
2001,4,KC,DEN,5,8
2001,4,MIN,NO,9,8
2001,4,NE,MIA,5,8
2001,4,NYJ,BUF,9,8
2001,4,SD,CLE,2,5
2001,4,STL,DET,9,8
2001,4,TEN,BAL,9,8
2001,4,WAS,NYG,6,4
2001,5,ARI,CHI,9,8
2001,5,BAL,GB,5,4
2001,5,CLE,CIN,6,4
2001,5,DEN,SEA,9,8
2001,5,DET,MIN,9,8
2001,5,MIA,NYJ,4,5
2001,5,NO,CAR,5,4
2001,5,NYG,STL,2,5
2001,5,OAK,IND,6,4
2001,5,PIT,KC,6,4
2001,5,SD,NE,2,1
2001,5,SF,ATL,8,10
2001,5,TB,TEN,5,8
2001,5,WAS,DAL,7,6
2001,6,ATL,NO,7,3
2001,6,BAL,CLE,5,8
2001,6,BUF,JAX,6,4
2001,6,CAR,WAS,8,10
2001,6,CHI,CIN,5,8
2001,6,DEN,SD,5,8
2001,6,GB,MIN,9,8
2001,6,KC,ARI,6,3
2001,6,NE,IND,9,8
2001,6,PHI,NYG,8,10
2001,6,PIT,TB,5,4
2001,6,STL,NYJ,5,8
2001,6,TEN,DET,7,6
2001,7,ARI,DAL,6,4
2001,7,BUF,SD,6,4
2001,7,CIN,DET,7,3
2001,7,IND,KC,6,4
2001,7,JAX,BAL,2,5
2001,7,MIA,SEA,2,5
2001,7,MIN,TB,9,8
2001,7,NE,DEN,7,5
2001,7,NO,STL,4,2
2001,7,NYG,WAS,9,8
2001,7,NYJ,CAR,2,5
2001,7,OAK,PHI,9,8
2001,7,SF,CHI,10,9
2001,7,TEN,PIT,9,8
2001,8,BAL,PIT,2,5
2001,8,CAR,MIA,5,8
2001,8,CLE,CHI,8,10
2001,8,DAL,NYG,8,10
2001,8,DEN,OAK,9,8
2001,8,DET,SF,7,3
2001,8,IND,BUF,5,8
2001,8,JAX,TEN,2,5
2001,8,KC,SD,5,8
2001,8,NE,ATL,5,4
2001,8,NYJ,NO,5,4
2001,8,PHI,ARI,9,8
2001,8,SEA,WAS,9,8
2001,8,TB,GB,2,5
2001,9,BAL,TEN,2,5
2001,9,BUF,NE,9,8
2001,9,CAR,STL,9,7
2001,9,CIN,JAX,10,9
2001,9,DAL,ATL,2,5
2001,9,GB,CHI,7,3
2001,9,KC,NYJ,9,8
2001,9,MIA,IND,2,5
2001,9,MIN,PHI,9,8
2001,9,NO,SF,6,4
2001,9,NYG,ARI,5,4
2001,9,OAK,SEA,7,3
2001,9,PIT,CLE,4,5
2001,9,SD,DEN,9,8
2001,9,TB,DET,6,4
2001,10,ATL,GB,6,4
2001,10,CHI,TB,7,4
2001,10,CLE,BAL,5,4
2001,10,DET,ARI,1,5
2001,10,IND,NO,7,4
2001,10,JAX,PIT,5,8
2001,10,NYG,MIN,7,3
2001,10,NYJ,MIA,9,8
2001,10,PHI,DAL,9,8
2001,10,SD,OAK,6,4
2001,10,SEA,BUF,6,4
2001,10,SF,CAR,8,10
2001,10,STL,NE,6,3
2001,10,TEN,CIN,6,4
2001,10,WAS,DEN,4,2
2001,11,ARI,SD,7,3
2001,11,ATL,CAR,6,4
2001,11,BAL,JAX,9,8
2001,11,CHI,MIN,6,4
2001,11,CIN,CLE,9,8
2001,11,DEN,DAL,9,8
2001,11,GB,DET,6,4
2001,11,MIA,BUF,8,10
2001,11,NO,NE,9,8
2001,11,OAK,NYG,9,8
2001,11,PIT,TEN,2,5
2001,11,SEA,KC,5,4
2001,11,SF,IND,6,3
2001,11,TB,STL,6,4
2001,11,WAS,PHI,6,4
2001,12,ARI,OAK,6,6
2001,12,BUF,SF,9,8
2001,12,CAR,NO,6,4
2001,12,DAL,WAS,6,4
2001,12,DEN,MIA,2,5
2001,12,DET,CHI,2,5
2001,12,GB,JAX,7,4
2001,12,IND,BAL,6,4
2001,12,MIN,PIT,5,8
2001,12,NE,NYJ,8,10
2001,12,PHI,KC,9,8
2001,12,SD,SEA,6,4
2001,12,STL,ATL,9,8
2001,12,TB,CIN,6,4
2001,12,TEN,CLE,9,8
2001,13,CAR,BUF,8,2
2001,13,CHI,GB,5,4
2001,13,CLE,NE,6,4
2001,13,DET,TB,2,1
2001,13,IND,MIA,9,8
2001,13,JAX,CIN,7,3
2001,13,KC,OAK,7,4
2001,13,NO,ATL,6,4
2001,13,NYG,DAL,2,5
2001,13,NYJ,PIT,5,8
2001,13,SD,PHI,9,8
2001,13,SEA,DEN,9,8
2001,13,SF,STL,9,8
2001,13,TEN,MIN,5,4
2001,13,WAS,ARI,6,4
2001,14,ARI,NYG,7,3
2001,14,ATL,IND,9,8
2001,14,CIN,NYJ,4,2
2001,14,DAL,SEA,9,8
2001,14,DEN,KC,6,4
2001,14,GB,TEN,6,4
2001,14,JAX,CLE,5,4
2001,14,MIA,SF,9,8
2001,14,MIN,DET,6,4
2001,14,NE,BUF,7,6
2001,14,OAK,SD,7,3
2001,14,PHI,WAS,5,4
2001,14,PIT,BAL,6,4
2001,14,STL,NO,6,4
2001,14,TB,CHI,5,8
2001,15,BUF,ATL,6,4
2001,15,CHI,WAS,2,5
2001,15,CIN,BAL,9,8
2001,15,CLE,GB,9,8
2001,15,DAL,ARI,6,4
2001,15,DET,PIT,9,7
2001,15,JAX,MIN,9,8
2001,15,MIA,NE,9,8
2001,15,NO,TB,9,7
2001,15,NYJ,IND,1,6
2001,15,PHI,SF,7,3
2001,15,SD,KC,2,5
2001,15,SEA,NYG,4,2
2001,15,STL,CAR,7,4
2001,15,TEN,OAK,7,5
2001,16,ARI,CAR,9,7
2001,16,ATL,MIA,5,4
2001,16,BAL,TB,5,8
2001,16,BUF,NYJ,7,6
2001,16,CHI,DET,9,8
2001,16,CLE,TEN,8,10
2001,16,IND,STL,9,8
2001,16,KC,JAX,9,8
2001,16,MIN,GB,6,4
2001,16,NYG,PHI,1,6
2001,16,OAK,DEN,7,3
2001,16,PIT,CIN,8,10
2001,16,SEA,SD,2,5
2001,16,SF,DAL,6,4
2001,16,WAS,NO,7,4
2001,17,ARI,WAS,8,2
2001,17,ATL,STL,9,8
2001,17,BUF,MIA,9,8
2001,17,CIN,TEN,4,2
2001,17,CLE,PIT,6,4
2001,17,DAL,DET,7,3
2001,17,DEN,IND,9,8
2001,17,GB,NYG,9,8
2001,17,JAX,CHI,9,8
2001,17,KC,SEA,5,8
2001,17,MIN,BAL,5,8
2001,17,NE,CAR,9,8
2001,17,NYJ,OAK,2,5
2001,17,PHI,TB,10,10
2001,17,SF,NO,9,8
2001,18,BAL,MIA,6,4
2001,18,NYJ,OAK,5,8
2001,18,SF,GB,6,4
2001,18,TB,PHI,5,8
2001,19,BAL,PIT,9,8
2001,19,GB,STL,9,8
2001,19,OAK,NE,8,2
2001,19,PHI,CHI,6,4
2001,20,NE,PIT,6,4
2001,20,PHI,STL,6,4
2001,21,STL,NE,5,8
2002,1,ARI,WAS,6,4
2002,1,ATL,GB,2,5
2002,1,BAL,CAR,6,4
2002,1,DAL,HOU,5,4
2002,1,DET,MIA,9,8
2002,1,IND,JAX,9,8
2002,1,KC,CLE,8,10
2002,1,MIN,CHI,8,10
2002,1,NO,TB,6,4
2002,1,NYJ,BUF,2,5
2002,1,PHI,TEN,8,10
2002,1,PIT,NE,5,8
2002,1,SD,CIN,9,8
2002,1,SEA,OAK,9,8
2002,1,SF,NYG,7,5
2002,1,STL,DEN,6,4
2002,2,ARI,SEA,2,5
2002,2,BUF,MIN,2,5
2002,2,CHI,ATL,4,5
2002,2,CIN,CLE,9,8
2002,2,DEN,SF,7,3
2002,2,DET,CAR,9,8
2002,2,GB,NO,9,8
2002,2,HOU,SD,9,8
2002,2,JAX,KC,2,5
2002,2,MIA,IND,9,8
2002,2,NE,NYJ,5,8
2002,2,NYG,STL,6,4
2002,2,OAK,PIT,6,4
2002,2,PHI,WAS,9,8
2002,2,TB,BAL,9,8
2002,2,TEN,DAL,7,3
2002,3,BUF,DEN,5,8
2002,3,CAR,MIN,4,5
2002,3,CIN,ATL,9,8
2002,3,CLE,TEN,10,10
2002,3,DAL,PHI,5,4
2002,3,GB,DET,6,4
2002,3,IND,HOU,9,8
2002,3,KC,NE,2,5
2002,3,NO,CHI,8,2
2002,3,NYJ,MIA,9,8
2002,3,SD,ARI,5,4
2002,3,SEA,NYG,2,5
2002,3,STL,TB,6,4
2002,3,WAS,SF,9,8
2002,4,CAR,GB,2,5
2002,4,CHI,BUF,6,4
2002,4,CLE,PIT,4,2
2002,4,DAL,STL,2,5
2002,4,DEN,BAL,9,8
2002,4,HOU,PHI,9,8
2002,4,MIA,KC,9,8
2002,4,MIN,SEA,9,8
2002,4,NE,SD,7,4
2002,4,NO,DET,9,8
2002,4,NYG,ARI,2,5
2002,4,NYJ,JAX,10,9
2002,4,TB,CIN,5,4
2002,4,TEN,OAK,9,7
2002,5,ARI,CAR,8,10
2002,5,BAL,CLE,5,8
2002,5,CIN,IND,9,8
2002,5,GB,CHI,9,8
2002,5,KC,NYJ,4,2
2002,5,NE,MIA,9,8
2002,5,NYG,DAL,7,3
2002,5,OAK,BUF,2,5
2002,5,PHI,JAX,7,4
2002,5,PIT,NO,9,8
2002,5,SD,DEN,9,8
2002,5,STL,SF,9,8
2002,5,TB,ATL,7,3
2002,5,WAS,TEN,6,4
